locus_tag	GRYC_note
C1_00140W_A	Phenotype:normal adhesion (null), viable (null), normal virulence (null), abnormal filamentous growth (null)
C1_00150C_A	Phenotype:decreased filamentous growth (null), absent invasive growth (null), abnormal entry into G0 (stationary phase) (null), normal germ tube formation (null), viable (null)viable (null)viable (null), decreased virulence (null), decreased rate vegetative growth (null), absent filamentous growth (null), absent hyphal growth (null), viable (null), decreased hyphal growth (null), normal virulence (null), viable (null)viable (null)viable (null)viable (null), inviable (repressible)viable (null), viable (null)viable (null), inviable (repressible), decreased invasive growth (null), abnormal filamentous growth (null)
C1_00160C_A	Phenotype:viable (null), viable (null)viable (null)
C1_00170W_A	Phenotype:viable (null), decreased resistance to chemicals (null)
C1_00180W_A	Phenotype:decreased filamentous growth (unspecified), viable (null)
C1_00190C_A	Protein of unknown function; flow model biofilm induced; Spider biofilm induced
C1_00200C_A	Has domain(s) with predicted nucleic acid binding, nucleotide binding activity
C1_00210C_A	Ortholog(s) have unfolded protein binding activity, role in protein folding, protein localization to cell surface and integral to endoplasmic reticulum membrane, mitochondrial outer membrane localization
C1_00220W_A	Phenotype:viable (null)viable (null)viable (null), decreased virulence (null), abnormal cellular morphology (null), decreased rate vegetative growth (null), abnormal cell wall morphology (null), abnormal induction of host response (null), normal virulence (null), inviable (repressible)viable (null), viable (null)viable (null), inviable (repressible), normal virulence (repressible)
C1_00230C_A	Ortholog(s) have role in mitotic spindle orientation checkpoint and spindle pole body localization
C1_00270W_A	Predicted ORF in retrotransposon Tca8 with similarity to the Gag region encoding nucleocapsid-like protein; repressed by ciclopirox olamine; filament induced; regulated by Rfg1, Tup1; overlaps orf19.6078.1
C1_00280C_A	Putative replication factor C complex protein; periodic mRNA expression, peak at cell-cycle G1/S phase; overlaps orf19.6079
C1_00290W_A	Predicted ORF in retrotransposon Tca8 with similarity to the Pol region of retrotransposons encoding reverse transcriptase, protease and integrase; downregulated in response to ciclopirox olamine; F-12/CO2 early biofilm induced
C1_00310W_A	Phenotype:decreased invasive growth (null)
C1_00320W_A	Phenotype:viable (null)viable (null)
C1_00330C_A	Phenotype:viable (null)viable (overexpression)haploinsufficient (null)viable (null)viable (null)viable (null)
C1_00340W_A	Phenotype:absent RNA accumulation (repressible), absent RNA accumulation (null), viable (null), increased RNA accumulation (repressible), increased RNA accumulation (null), inviable (null)viable (null)viable (null)inviable (null), increased phenotypic switching (null)
C1_00350C_A	Phenotype:viable (null)viable (null)viable (null)viable (null)viable (null), decreased virulence (null), viable (null)viable (null)viable (null)viable (null)viable (null)viable (null), decreased utilization of iron source (null)
C1_00360W_A	Phenotype:viable (null)inviable (null)
C1_00370W_A	Ortholog of <i>C. parapsilosis CDC317</i> : CPAR2_105720, <i>C. dubliniensis CD36</i> : Cd36_40990, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_101229 and <i>Lodderomyces elongisporus NRLL YB-4239</i> : LELG_04694
C1_00380C_A	Ortholog(s) have peptide alpha-N-acetyltransferase activity, role in N-terminal peptidyl-methionine acetylation, cytoskeleton organization, mitochondrion inheritance and NatB complex localization
C1_00390W_A	Phenotype:viable (null)
C1_00400W_A	Phenotype:viable (null)viable (null)viable (null)
C1_00410C_A	Phenotype:viable (null)
C1_00420W_A	RNA polymerase II holoenzyme/mediator subunit; regulated by Mig1, Tup1; amphotericin B, caspofungin repressed; protein present in exponential and stationary growth phase yeast; Hap43-repressed; Spider biofilm repressed
C1_00430W_A	Ortholog(s) have phosphatidylinositol binding, ubiquitin binding activity
C1_00440W_A	Phenotype:viable (null)viable (null)
C1_00450C_A	Mitochondrial protein; component of the mitochondrial inner membrane organizing system ; role in maintenance of crista junctions and inner membrane architecture; Spider biofilm repressed
C1_00460W_A	Putative TIM23 translocase complex subunit; membrane-localized; Hap43-repressed
C1_00470C_A	Phenotype:viable (null)viable (null)viable (null)
C1_00480C_A	Phenotype:viable (null)
C1_00490C_A	Phenotype:haploinsufficient (null), normal adhesion (null), normal oxidative stress resistance (null), decreased virulence (null), viable (null), normal colony appearance (null), normal protein activity (null), decreased oxidative stress resistance (null), viable (null)viable (null), decreased resistance to killing by host cells (null), increased oxidative stress resistance (null)
C1_00500C_A	Phenotype:viable (null)viable (null)
C1_00510W_A	Phenotype:absent virulence (repressible), viable (null)viable (null)
C1_00520W_A	Ortholog(s) have phosphatase activity, role in dephosphorylation and cytosol, nucleus localization
C1_00530C_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_00460, <i>C. parapsilosis CDC317</i> : CPAR2_800010, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_125085 and <i>Debaryomyces hansenii CBS767</i> : DEHA2D09086g
C1_00540C_A	Protein with a Bul1 domain; binds the ubiquitin ligase Rsp5 and is involved in intracellular trafficking of a general amino acid permease Gap1; repressed in an azole-resistant strain overexpressing MDR1; Spider biofilm induced
C1_00550W_A	Phenotype:normal competitive fitness (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null)
C1_00560W_A	Phenotype:viable (null), decreased resistance to chemicals (null)
C1_00570C_A	Ortholog(s) have protein kinase activator activity, role in protein phosphorylation, regulation of cytokinesis and chromosome passenger complex, kinetochore microtubule, spindle midzone localization
C1_00580W_A	Protein of unknown function; Spider biofilm induced
C1_00590W_A	Translation elongation factor TU; macrophage/pseudohyphal-induced; repressed upon phagocytosis by murine macrophage; levels decrease in stationary phase cells; Spider biofilm repressed
C1_00600W_A	Phenotype:inviable (repressible)viable (null)haploinsufficient (null), inviable (repressible)viable (null), inviable (repressible)
C1_00610W_A	Phenotype:viable (null), viable (null)viable (null), decreased resistance to killing by host cells (null), viable (null)viable (null)filamentous growth (null), viable (null)viable (null)filamentous growth (null)filamentous growth (null)
C1_00620W_A	Phenotype:absent cytokinesis (null), viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null), decreased rate vegetative growth (null), abnormal hyphal growth (null), abnormal protein/peptide distribution (null), viable (null), abnormal protein/peptide distribution (reduction of function), decreased hyphal growth (null), viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null), abnormal protein/peptide distribution (activation), abnormal hyphal growth (reduction of function), decreased resistance to chemicals (null), abnormal cell cycle progression (null), abnormal plasma membrane morphology (null), abnormal actin cytoskeleton morphology (null), increased cell size (null), decreased biofilm formation (null), abnormal colony appearance (null), decreased hypoosmotic stress resistance (null), abnormal cell shape (null)
C1_00630W_A	Phenotype:viable (null)viable (null)
C1_00640C_A	Phenotype:absent virulence (repressible), viable (null)viable (null)
C1_00650C_A	Phenotype:decreased germ tube formation (null), viable (null)viable (null)viable (null), decreased virulence (null), decreased metal resistance (null), decreased rate vegetative growth (null), absent filamentous growth (null), absent hyphal growth (null), viable (null), abnormal endocytosis (null), decreased alkaline pH resistance (null), absent protein/peptide modification (null), viable (null)viable (null)viable (null)viable (null), decreased vacuolar transport (null), decreased resistance to chemicals (null), viable (null)viable (null), abnormal protein/peptide modification (null), normal resistance to chemicals (null), absent utilization of iron source (null), decreased endocytosis (null)
C1_00660C_A	Phenotype:viable (null)
C1_00670C_A	Phenotype:normal competitive fitness (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null), increased hyphal growth (null), viable (null)inviable (repressible)viable (null)viable (null)viable (null)viable (null)
C1_00680W_A	Phenotype:normal competitive fitness (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null), decreased invasive growth (null)
C1_00690W_A	Phenotype:viable (null)
C1_00700W_A	Phenotype:decreased competitive fitness (null), viable (null)viable (repressible)viable (null)viable (null)viable (null)viable (null), normal rate vegetative growth (null)
C1_00710C_A	Phenotype:decreased rate vegetative growth (null), viable (null), decreased resistance to chemicals (null), decreased rate hyphal growth (unspecified), delayed cell cycle progression through the G1/S phase transition (unspecified), normal resistance to chemicals (null), delayed cell cycle passage through the metaphase-anaphase transition (unspecified)
C1_00730C_A	Phenotype:decreased filamentous growth (null), viable (null)viable (null)viable (null)viable (null)viable (null), viable (null)viable (null)viable (null), decreased virulence (null), increased resistance to chemicals (activation), absent hyphal growth (null), viable (null), decreased alkaline pH resistance (null), viable (null)viable (null)viable (null)viable (null), decreased resistance to chemicals (null), abnormal colony appearance (null), decreased apoptosis (null)
C1_00740C_A	Phenotype:viable (null), decreased resistance to chemicals (null)
C1_00750C_A	Phenotype:viable (null)viable (null)viable (null)auxotrophy (null)auxotrophy (null)viable (null)viable (null)viable (null)viable (null), viable (null)viable (null)viable (null)auxotrophy (null)auxotrophy (null)viable (null)viable (null)viable (null)
C1_00760W_A	Protein of unknown function; transcript detected on high-resolution tiling arrays
C1_00770C_A	Similar to S. cerevisiae Rot1p, which is involved in cell wall 1,6-beta-glucan biosynthesis; has predicted transmembrane region; possibly an essential gene, disruptants not obtained by UAU1 method
C1_00780C_A	Phenotype:viable (null), decreased hyphal growth (null), viable (unspecified)auxotrophy (unspecified)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)haploinsufficient (null)viable (null), abnormal interaction with host/environment (null), decreased biofilm formation (null), decreased invasive growth (null)
C1_00790W_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_00740, <i>C. parapsilosis CDC317</i> : CPAR2_110170, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_133175 and <i>Debaryomyces hansenii CBS767</i> : DEHA2D09724g
C1_00800C_A	Phenotype:increased resistance to chemicals (null), decreased virulence (repressible), viable (null), viable (unspecified), decreased resistance to chemicals (null), viable (unspecified)viable (unspecified), increased resistance to chemicals (unspecified), abnormal chemical compound accumulation (unspecified), decreased resistance to chemicals (unspecified)
C1_00810W_A	Phenotype:viable (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)viable (null)
C1_00820W_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_00770, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_112621, <i>Debaryomyces hansenii CBS767</i> : DEHA2D09812g and <i>Pichia stipitis Pignal</i> : PICST_61958
C1_00830W_A	Phenotype:viable (null), decreased invasive growth (null)
C1_00840C_A	Phenotype:increased resistance to chemicals (null), decreased cell size (null), viable (null)
C1_00850W_A	Protein of unknown function; induced during hyphae development; induced in low iron; Spider biofilm induced
C1_00860W_A	Phenotype:viable (null)viable (null)viable (null)viable (null)viable (null)
C1_00870W_A	Phenotype:normal competitive fitness (null), viable (null)viable (null)viable (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null)viable (null)viable (null), viable (null)viable (null)
C1_00880W_A	Protein of unknown function; Spider biofilm induced
C1_00890W_A	Phenotype:viable (null)viable (null)
C1_00900W_A	Phenotype:viable (null), decreased resistance to chemicals (null)
C1_00910W_A	Ortholog(s) have cytosol, nucleolus localization
C1_00920W_A	Phenotype:viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)
C1_00930C_A	Phenotype:decreased filamentous growth (null), decreased competitive fitness (null), decreased rate vegetative growth (null), viable (null), viable (null)viable (null), abnormal colony appearance (null)
C1_00940W_A	Putative RNA polymerase II subunit; flucytosine induced
C1_00950C_A	Phenotype:arrested cell cycle progression in M phase (repressible), abnormal filamentous growth (repressible), abnormal cell cycle progression (repressible), viable (overexpression)
C1_00960C_A	Phenotype:normal filamentous growth (null), viable (null)viable (null)viable (null), decreased virulence (null), decreased adhesion (null), viable (null), normal virulence (null), decreased protein/peptide modification (null), increased invasive growth (null), viable (null)viable (null), normal resistance to chemicals (null), increased phenotypic switching (null), normal resistance to enzymatic treatment (null)
C1_00970W_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_00920, <i>Debaryomyces hansenii CBS767</i> : DEHA2F20724g, <i>Pichia stipitis Pignal</i> : PICST_32745 and <i>Candida albicans WO-1</i> : CAWG_01277
C1_00980W_A	Ortholog(s) have mitochondrion localization
C1_00990C_A	Putative serine protease and general molecular chaperone; macrophage-induced gene; repressed in core stress response; merged with orf19.3288.1 in Assembly 21
C1_01000C_A	Phosphorylated protein of unknown function
C1_01010W_A	Phenotype:decreased competitive fitness (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null)
C1_01030W_A	Phenotype:viable (null)viable (null)viable (null)viable (null)viable (null), viable (null)viable (null)viable (null)viable (null)
C1_01040W_A	Phenotype:viable (null)viable (null)viable (null)
C1_01050C_A	Phenotype:viable (null), viable (null)haploinsufficient (null)haploinsufficient (null), viable (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null), viable (null)haploinsufficient (null), viable (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)
C1_01060W_A	Phenotype:viable (null)viable (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)viable (null)
C1_01070C_A	Has domain(s) with predicted role in cell division, chromosome segregation and MIS12/MIND type complex localization
C1_01080W_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_01020, <i>C. parapsilosis CDC317</i> : CPAR2_110130, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_93515 and <i>Debaryomyces hansenii CBS767</i> : DEHA2D14542g
C1_01090C_A	Ortholog(s) have structural constituent of ribosome activity and mitochondrial small ribosomal subunit localization
C1_01100W_A	Phenotype:decreased virulence (null), abnormal hyphal growth (null), viable (null), decreased hyphal growth (null), viable (null)haploinsufficient (null)haploinsufficient (null), decreased oxidative stress resistance (null), decreased resistance to chemicals (null), viable (null)viable (null), viable (null)haploinsufficient (null), abnormal chemical compound accumulation (null), decreased invasive growth (null), viable (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)
C1_01110C_A	Phenotype:viable (null), normal biofilm formation (null), viable (null)viable (null)
C1_01130W_A	Phenotype:viable (null)
C1_01140C_A	Phenotype:viable (null)
C1_01150C_A	Phenotype:viable (null)
C1_01160C_A	Phenotype:viable (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)viable (null)viable (null), decreased invasive growth (null)
C1_01170C_A	Phenotype:viable (null)viable (null)viable (null)viable (null)viable (null), viable (null), increased hyphal growth (null), normal biofilm formation (null), decreased invasive growth (null), decreased survival rate in stationary phase (null)
C1_01180C_A	Ortholog(s) have four-way junction DNA binding activity, role in meiotic recombination checkpoint, synaptonemal complex assembly and lateral element localization
C1_01190C_A	Phenotype:viable (null)
C1_01200W_A	Phenotype:viable (null)viable (null)viable (null), viable (null), normal virulence (null), normal biofilm formation (null), viable (null)viable (null), abnormal colony appearance (null)
C1_01210W_A	Ortholog of <i>Candida tropicalis MYA-3404</i> : CTRG_04422 and <i>Candida albicans WO-1</i> : CAWG_01254
C1_01220C_A	Protein of unknown function; Hap43-repressed; rat catheter and Spider biofilm induced
C1_01240W_A	Phenotype:normal competitive fitness (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null)
C1_01250W_A	Protein of unknown function; flow model and Spider biofilm repressed
C1_01260C_A	Phenotype:viable (null), normal virulence (repressible)
C1_01270W_A	Phenotype:normal competitive fitness (null), viable (null), normal rate vegetative growth (null), viable (null)viable (null), abnormal colony appearance (null)
C1_01280C_A	Phenotype:viable (null)viable (null)
C1_01290C_A	Phenotype:decreased resistance to chemicals (null)
C1_01300W_A	Phenotype:viable (null)
C1_01310W_A	Dubious open reading frame
C1_01320W_A	Phenotype:viable (null), decreased invasive growth (null)
C1_01330C_A	Phenotype:viable (null)
C1_01340C_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_01240, <i>C. parapsilosis CDC317</i> : CPAR2_109140, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_114227 and <i>Debaryomyces hansenii CBS767</i> : DEHA2D15026g
C1_01350C_A	Translation initiation factor; upregulated in highly virulent strain compared to less virulent strain; antigenic in human; flucytosine induced; downregulated upon phagocytosis by macrophages; Spider biofilm repressed
C1_01360C_A	Phenotype:inviable (repressible)viable (null)
C1_01370C_A	Phenotype:haploinsufficient (null), haploinsufficient (null)haploinsufficient (null), haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)
C1_01380C_A	Phenotype:viable (null)viable (null)
C1_01390C_A	Putative transcription factor; S. cerevisiae ortholog Hot1 is required for the transient induction of glycerol biosynthetic genes GPD1 and GPP2 in response to high osmolarity; filament induced
C1_01400C_A	Phenotype:viable (null), decreased invasive growth (null)
C1_01420C_A	Phenotype:normal competitive fitness (null), absent cytokinesis (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null), abnormal cell shape (null)
C1_01440C_A	Phenotype:normal competitive fitness (null), viable (null)viable (null)viable (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null)
C1_01450W_A	Phenotype:viable (null)viable (null)haploinsufficient (null), viable (null)viable (null)
C1_01460W_A	Phenotype:viable (null)viable (null)
C1_01470W_A	Phenotype:viable (null)viable (null)viable (null)viable (null)auxotrophy (null)auxotrophy (null)auxotrophy (null)inviable (repressible)viable (null)viable (null), decreased invasive growth (null)
C1_01480C_A	Phenotype:haploinsufficient (null)haploinsufficient (null)viable (null)
C1_01490W_A	Phenotype:decreased competitive fitness (null), viable (null)viable (null)viable (null)viable (null)viable (null), normal colony appearance (null), normal rate vegetative growth (null)
C1_01500W_A	Ortholog of <i>Candida albicans WO-1</i> : CAWG_01228
C1_01510W_A	Protein of unknown function; merged with orf19.3338; rat catheter, flow and Spider model biofilm induced; promoter bound by Bcr1, Efg1, Ndt80, and Rob1; orf19.3338 Bcr1-repressed in RPMI a/a biofilms
C1_01520C_A	Phenotype:viable (null)viable (null)viable (null), viable (null), normal interaction with host/environment (null), normal virulence (overexpression), normal virulence (null), decreased metal resistance (overexpression), decreased oxidative stress resistance (null), decreased resistance to chemicals (null), viable (null)viable (null), increased oxidative stress resistance (null)
C1_01530C_A	Phenotype:inviable (null)viable (null)inviable (repressible)viable (null), inviable (null)viable (null)inviable (repressible), inviable (null)viable (null), inviable (null)
C1_01540W_A	Ortholog(s) have role in protein deubiquitination and cytoplasm, nucleus localization
C1_01550W_A	Ortholog(s) have phosphatidylinositol-3-phosphate binding, protein transporter activity
C1_01560W_A	Phenotype:haploinsufficient (null), normal competitive fitness (null), viable (null)viable (null)viable (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null)
C1_01570C_A	Phenotype:increased resistance to chemicals (null), viable (null)
C1_01580W_A	Phenotype:absent virulence (repressible), viable (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)viable (null)viable (null)viable (null)
C1_01590C_A	Phenotype:increased resistance to chemicals (null), viable (null)
C1_01600W_A	Component of mitochondrial ribosome; decreased expression in hyphae compared to yeast-form cells
C1_01610C_A	Protein of unknown function; Hap43-induced; Spider biofilm induced
C1_01620C_A	Phenotype:viable (null)viable (null)viable (null)
C1_01630W_A	Phenotype:decreased invasive growth (null)
C1_01640W_A	Ortholog(s) have structural constituent of ribosome activity and 90S preribosome, cytosolic small ribosomal subunit, extracellular region, nucleolus localization
C1_01650W_A	Phenotype:viable (null), viable (null)haploinsufficient (null)haploinsufficient (null), viable (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null), viable (null)haploinsufficient (null), viable (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)
C1_01670C_A	Phenotype:viable (null), decreased resistance to chemicals (null)
C1_01680C_A	Ortholog(s) have mitochondrion localization
C1_01690C_A	Phenotype:viable (null)
C1_01700W_A	Phenotype:viable (null), decreased resistance to chemicals (null)
C1_01710W_A	Protein of unknown function; flow model biofilm induced; Spider biofilm induced
C1_01740W_A	Phenotype:viable (null), decreased utilization of carbon source (null), normal virulence (null), viable (null)viable (null), normal hyphal growth (null)
C1_01750W_A	Phenotype:viable (null)
C1_01760W_A	Phenotype:increased filamentous growth (null), viable (null)
C1_01770W_A	Phenotype:viable (null)viable (null)
C1_01780C_A	Phenotype:viable (null)viable (null)
C1_01790W_A	Phenotype:normal competitive fitness (null), abnormal colony color (null), decreased rate vegetative growth (null), viable (null), normal colony appearance (null), increased heat sensitivity (null), decreased resistance to chemicals (null), viable (null)viable (null), increased cell size (null), abnormal colony appearance (null), abnormal cell shape (null)
C1_01800W_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_01640, <i>C. parapsilosis CDC317</i> : CPAR2_106830, <i>Candida tenuis NRRL Y-1498</i> : cten_CGOB_00039 and <i>Debaryomyces hansenii CBS767</i> : DEHA2B06578g
C1_01810C_A	Phenotype:viable (null), decreased resistance to chemicals (null), viable (null)viable (null)
C1_01820C_A	Phenotype:decreased virulence (repressible), inviable (repressible)viable (null)viable (null)viable (null)viable (null)
C1_01830C_A	Phenotype:decreased invasive growth (null)
C1_01840C_A	Protein with a Rho GDP-dissociation inhibitor domain; Hap43-repressed gene; Spider biofilm induced
C1_01850C_A	Phenotype:viable (null)viable (null)viable (null)
C1_01860W_A	Phenotype:viable (null)viable (null)
C1_01870C_A	Phenotype:viable (null)
C1_01880C_A	Phenotype:viable (null)viable (null)
C1_01890C_A	Phenotype:haploinsufficient (null)viable (null)
C1_01900C_A	Phenotype:viable (null)
C1_01910W_A	Phenotype:viable (null)viable (null)
C1_01920W_A	Phenotype:viable (null)
C1_01930W_A	Phenotype:decreased invasive growth (null)
C1_01940C_A	Phenotype:viable (null)
C1_01950C_A	Ortholog(s) have role in vacuolar protein processing and endoplasmic reticulum localization
C1_01970W_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_01830
C1_01980W_A	Phenotype:viable (null)viable (null)viable (null), decreased hyphal growth (null), inviable (null)viable (null), inviable (null)
C1_01990W_A	Phenotype:viable (null)
C1_02000W_A	Ortholog(s) have endoplasmic reticulum, nuclear pore localization
C1_02010C_A	Phenotype:normal competitive fitness (null), viable (null)viable (null)viable (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null)
C1_02020W_A	Ortholog(s) have 5-formyltetrahydrofolate cyclo- ligase activity, role in folic acid-containing compound biosynthetic process and mitochondrion localization
C1_02030C_A	Ortholog(s) have role in response to drug and cytosol, nucleus localization
C1_02040C_A	Putative deubiquitinating enzyme; induced by Mnl1 under weak acid stress
C1_02050C_A	Putative low-affinity phosphate transporter; fungal- specific (no human or murine homolog)
C1_02060W_A	Predicted plasma membrane protein; gene has intron
C1_02070W_A	Putative 30 kda heat shock protein; repressed during the mating process; rat catheter biofilm induced
C1_02080W_A	Phenotype:normal competitive fitness (null), increased adhesion (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null)
C1_02090C_A	Phenotype:viable (null)
C1_02100W_A	Phenotype:normal competitive fitness (null), viable (null)viable (null)viable (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null)
C1_02110C_A	Putative MFS glucose transporter; 20 member C. albicans glucose transporter family; 12 probable membrane- spanning segments; expressed in rich medium with 2% glucose; rat catheter and Spider biofilm induced
C1_02120C_A	Phenotype:decreased filamentous growth (unspecified), viable (null), viable (null)viable (repressible), decreased biofilm formation (null), abnormal colony appearance (null)
C1_02130C_A	Phenotype:viable (null)viable (unspecified), viable (null), normal virulence (null), viable (null)viable (unspecified)viable (unspecified), abnormal utilization of carbon source (unspecified), increased resistance to chemicals (unspecified)
C1_02140C_A	Dubious open reading frame
C1_02150W_A	Phenotype:increased filamentous growth (null), viable (null), abnormal biofilm formation (null), decreased oxidative stress resistance (null), decreased resistance to chemicals (null), absent utilization of carbon source (null)
C1_02160W_A	Phenotype:absent virulence (repressible), viable (null)viable (null)
C1_02170C_A	Phenotype:viable (null), abnormal biofilm formation (null), decreased resistance to chemicals (null), decreased invasive growth (null)
C1_02180W_A	Phenotype:viable (null)viable (null)
C1_02190W_A	Phenotype:viable (unspecified)auxotrophy (unspecified)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)
C1_02200C_A	Ortholog(s) have Atg8 ligase activity and role in C- terminal protein lipidation, CVT pathway, ascospore formation, cellular response to nitrogen starvation, macroautophagy, mitochondrion degradation, piecemeal microautophagy of nucleus
C1_02210W_A	Phenotype:haploinsufficient (null)viable (null)
C1_02220C_A	Phenotype:viable (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)viable (null)
C1_02230W_A	Phenotype:normal competitive fitness (null), normal chlamydospore formation (null), viable (null)viable (null)viable (null), abnormal hyphal growth (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null), normal virulence (null), viable (null)viable (null)viable (null)viable (null), viable (null)viable (null), normal hyphal growth (null), decreased invasive growth (null)
C1_02240W_A	Phenotype:inviable (repressible)viable (null)viable (null)viable (null)
C1_02250W_A	Phenotype:viable (null)viable (repressible)viable (null)viable (null)viable (null)
C1_02260C_A	Phenotype:viable (null)viable (null)viable (null), decreased virulence (null), abnormal hyphal growth (null), viable (null), normal biofilm formation (null), increased resistance to enzymatic treatment (null), delayed endocytosis (null), decreased resistance to chemicals (null), viable (null)viable (null), abnormal invasive growth (null), abnormal actin cytoskeleton morphology (null)
C1_02270C_A	Putative oxidoreductase; Spider biofilm induced
