Feature_name_mandatory	Aliases_multiples_separated_by_	Feature_type	Primary_CGDID	Secondary_CGDID_if_any	Date_Created	Sequence_Coordinate_Version_Date_if_any	Blank	Blank1	Date_of_gene_name_reservation_if_any	Has_the_reserved_gene_name_become_the_standard_name_YN	Name_of_S_cerevisiae_orthologs_multiples_separated_by_
C1_00080C_A	CAWG_01358|orf19.6102|C1_00080C_B|C1_00080C|orf19.13521|IPF21080.1|IPF4649.1|Contig4-2342_0004|orf6.6239|CA3854|CaO19.6102|CST6|CaO19.13521|IPF4649	ORF|Verified	CAL0000191329		2014-06-24	2014-06-24	NA	NA		N	CST6
C1_00080C_B		ORF	CAL0000196476		2014-06-24	2014-06-24	NA	NA		N	
C1_00090W_A	CAWG_01357|orf19.6103|C1_00090W_B|C1_00090W|orf19.13522|IPF21098.1|IPF4645.1|Contig4-2342_0005|orf6.6238|CA3855|CaO19.6103|CaO19.13522|IPF4645	ORF|Uncharacterized	CAL0000185968		2014-06-24	2014-06-24	NA	NA		N	SPO73
C1_00090W_B		ORF	CAL0000196776		2014-06-24	2014-06-24	NA	NA		N	
C1_00100C_A	CAWG_01355|orf19.6100|C1_00100C_B|C1_00100C|orf19.13519|CRD1|IPF21085.1|IPF4641.1|Contig4-2342_0007|orf6.6241|CA3856|CaO19.6100|CaO19.13519|IPF4641	ORF|Uncharacterized	CAL0000197186		2014-06-24	2014-06-24	NA	NA		N	CRD1
C1_00100C_B		ORF	CAL0000185127		2014-06-24	2014-06-24	NA	NA		N	
C1_00110W_A	CAWG_01354|orf19.6099|C1_00110W_B|C1_00110W|orf19.13518|IPF21047.1|IPF4639.1|orf6.6242|CA3857|CaO19.6099|CaO19.13518	ORF|Verified	CAL0000175759	CAL0006448	2014-06-24	2014-06-24	NA	NA		N	CCT8
C1_00110W_B		ORF	CAL0000184935		2014-06-24	2014-06-24	NA	NA		N	
C1_00120C_A	CAWG_01353|orf19.6096|C1_00120C_B|C1_00120C|IPF21091.1|IPF4635.2|Contig4-2998_0001|orf6.6245|CA3858|CaO19.6096|CaO19.13515	ORF|Verified	CAL0000186853	CAL0006742	2014-06-24	2014-06-24	NA	NA		N	TRP1
C1_00120C_B		ORF	CAL0000198878		2014-06-24	2014-06-24	NA	NA		N	
C1_00130C_A	CAWG_01352|orf19.6094|C1_00130C_B|C1_00130C|orf19.13513|IPF21026.1|IPF4632.2|Contig4-2998_0005|orf6.6247|CA3859|CaO19.6094|CaO19.13513|IPF4632	ORF|Uncharacterized	CAL0000194290		2014-06-24	2014-06-24	NA	NA		N	VPS53
C1_00130C_B		ORF	CAL0000186986		2014-06-24	2014-06-24	NA	NA		N	
C1_00140W_A	CAWG_01351|orf19.6092|C1_00140W_B|C1_00140W|orf19.13511|IPF21143.1|IPF4628.1|Contig4-2998_0008|orf6.6249|CA3860|CaO19.13511|KEL2|CaO19.6092	ORF|Verified	CAL0000190815		2014-06-24	2014-06-24	NA	NA		N	KEL1
C1_00140W_B		ORF	CAL0000198276		2014-06-24	2014-06-24	NA	NA		N	
C1_00150C_A	CAWG_01350|orf19.6091|C1_00150C_B|C1_00150C|orf19.13510|PRR1|RIN|IPF21039.1|IPF4622.1|Contig4-2998_0009|orf6.6250|CA3861|CaO19.6091|CaO19.13510	ORF|Verified	CAL0000197201		2014-06-24	2014-06-24	NA	NA		N	RIM8
C1_00150C_B		ORF	CAL0000181532		2014-06-24	2014-06-24	NA	NA		N	
C1_00160C_A	CAWG_01349|orf19.6090|C1_00160C_B|C1_00160C|orf19.13509|IPF21063.1|IPF4616.2|Contig4-2998_0012|orf6.6252|CA3862|CaO19.6090|NSR1|CaO19.13509	ORF|Verified	CAL0000200313		2014-06-24	2014-06-24	NA	NA		N	NSR1
C1_00160C_B		ORF	CAL0000184518		2014-06-24	2014-06-24	NA	NA		N	
C1_00170W_A	CAWG_01348|orf19.6086|C1_00170W_B|C1_00170W|orf19.13505|IPF21043.1|IPF4611.1|LEU41|Contig4-2998_0014|orf6.6255|CA3863|CaO19.6086|CaO19.13505	ORF|Verified	CAL0000186267	CAL0006588	2014-06-24	2014-06-24	NA	NA		N	LEU4
C1_00170W_B		ORF	CAL0000199608		2014-06-24	2014-06-24	NA	NA		N	
C1_00180W_A	CAWG_01347|orf19.6085|C1_00180W_B|C1_00180W|orf19.13504|IPF21087.1|IPF4609.1|Contig4-2998_0015|orf6.6256|CA3864|CaO19.13504|RPL16|CaO19.6085	ORF|Verified	CAL0000175593		2014-06-24	2014-06-24	NA	NA		N	RPL16A
C1_00180W_B		ORF	CAL0000181017		2014-06-24	2014-06-24	NA	NA		N	
C1_00190C_A	CAWG_01346|orf19.6084|C1_00190C_B|C1_00190C|orf19.13503|IPF21095.1|IPF4608.1|Contig4-2998_0016|orf6.6257|CA3865|CaO19.6084|CaO19.13503|IPF4608	ORF|Uncharacterized	CAL0000186780		2014-06-24	2014-06-24	NA	NA		N	
C1_00190C_B		ORF	CAL0000199014		2014-06-24	2014-06-24	NA	NA		N	
C1_00200C_A	CAWG_01345|orf19.6083|C1_00200C_B|C1_00200C|orf19.13502|IPF21127.1|IPF4607.1|Contig4-2998_0017|orf6.6258|CaO19.13502|CaO19.6083	ORF|Uncharacterized	CAL0000183783		2014-06-24	2014-06-24	NA	NA		N	
C1_00200C_B		ORF	CAL0000192643		2014-06-24	2014-06-24	NA	NA		N	
C1_00210C_A	CAWG_01344|orf19.6082|C1_00210C_B|C1_00210C|orf19.13501|IPF21065.1|IPF4606.1|Contig4-2998_0019|orf6.6259|CA3866|CaO19.13501|GSF2|CaO19.6082|IPF4606	ORF|Verified	CAL0000182274		2014-06-24	2014-06-24	NA	NA		N	GSF2
C1_00210C_B		ORF	CAL0000196572		2014-06-24	2014-06-24	NA	NA		N	
C1_00220W_A	CAWG_01343|orf19.6081|C1_00220W_B|C1_00220W|orf19.13500|orf6.6260|IPF4604.2|IPF14612.3|Contig4-2998_0022|orf6.1067|CA3867|CaO19.6081	ORF|Verified	CAL0000181783		2014-06-24	2014-06-24	NA	NA		N	GAS1
C1_00220W_B		ORF	CAL0000185257		2014-06-24	2014-06-24	NA	NA		N	
C1_00230C_A	CAWG_01342|orf19.6080|C1_00230C_B|C1_00230C|orf19.13499|IPF21062.1|IPF14615.1|Contig4-2160_0002|orf6.1066|CA0287|CaO19.6080|IPF14615	ORF|Uncharacterized	CAL0000186201		2014-06-24	2014-06-24	NA	NA		N	BFA1
C1_00230C_B		ORF	CAL0000174075		2014-06-24	2014-06-24	NA	NA		N	
C1_00240C_A	C1_00240C_B|C1_00240C|tT(AGU)6.2|tT(AGT)6	tRNA|Uncharacterized	CAL0000188836		2014-06-24	2014-06-24	NA	NA		N	
C1_00240C_B		tRNA	CAL0000184927		2014-06-24	2014-06-24	NA	NA		N	
C1_00250W_A	Tca8-1|C1_00250W_B|C1_00250W|TCA8	retrotransposon	CAL0000198726		2014-06-24	2014-06-24	NA	NA		N	
C1_00250W_B		retrotransposon	CAL0000185709		2014-06-24	2014-06-24	NA	NA		N	
C1_00260W_A	beta-1b|C1_00260W_B|C1_00260W|beta	long_terminal_repeat	CAL0000174218		2014-06-24	2014-06-24	NA	NA		N	
C1_00260W_B		long_terminal_repeat	CAL0000185695		2014-06-24	2014-06-24	NA	NA		N	
C1_00270W_A	CAWG_03692|orf19.6079|C1_00270W_B|C1_00270W|IPF14618|IPF14618.2|Contig4-2960_0013|orf6.1065|orf6.1757|CA0286|CaO19.6079|IPF14618.1	ORF|Uncharacterized|transposable element gene	CAL0000188751		2014-06-24	2014-06-24	NA	NA		N	
C1_00270W_B		ORF	CAL0000184945		2014-06-24	2014-06-24	NA	NA		N	
C1_00280C_A	orf19.6078.1|C1_00280C_B|C1_00280C|IPF14619.2	ORF|Uncharacterized	CAL0000194446		2014-06-24	2014-06-24	NA	NA		N	
C1_00280C_B		ORF	CAL0000174992		2014-06-24	2014-06-24	NA	NA		N	
C1_00290W_A	CAWG_03691|orf19.6078|C1_00290W_B|C1_00290W|IPF17652.3|Contig4-2396_0002|Contig4-2396_0003|Contig4-2960_0011|orf6.241|orf6.1756|CA0037|CaO19.6078|IPF17652.2	ORF|Uncharacterized|transposable element gene	CAL0000175689		2014-06-24	2014-06-24	NA	NA		N	
C1_00290W_B		ORF	CAL0000199001		2014-06-24	2014-06-24	NA	NA		N	
C1_00300W_A	beta-1c|C1_00300W_B|C1_00300W|beta	long_terminal_repeat	CAL0000189256		2014-06-24	2014-06-24	NA	NA		N	
C1_00300W_B		long_terminal_repeat	CAL0000175610		2014-06-24	2014-06-24	NA	NA		N	
C1_00310W_A	CAWG_01341|orf19.6077|C1_00310W_B|C1_00310W|orf19.13498|IPF8369.2|IPF27822.1|Contig4-2396_0004|orf6.7621|CA4936|CaO19.13498|CaO19.6077|IPF8369	ORF|Uncharacterized	CAL0000201857		2014-06-24	2014-06-24	NA	NA		N	PNS1
C1_00310W_B		ORF	CAL0000193521		2014-06-24	2014-06-24	NA	NA		N	
C1_00320W_A	CAWG_01340|orf19.6076|C1_00320W_B|C1_00320W|orf19.13497|IPF21082.1|IPF8370.1|Contig4-2396_0005|orf6.7620|CA4935|CaO19.6076|VPS29|CaO19.13497	ORF|Uncharacterized	CAL0000193936		2014-06-24	2014-06-24	NA	NA		N	VPS29
C1_00320W_B		ORF	CAL0000176667		2014-06-24	2014-06-24	NA	NA		N	
C1_00330C_A	CAWG_01339|orf19.6075|C1_00330C_B|C1_00330C|orf19.13496|IPF21103.1|IPF8371.1|Contig4-2396_0006|orf6.7619|CA4934|CaO19.13496|CDC36|CaO19.6075	ORF|Uncharacterized	CAL0000200147		2014-06-24	2014-06-24	NA	NA		N	CDC36
C1_00330C_B		ORF	CAL0000187504		2014-06-24	2014-06-24	NA	NA		N	
C1_00340W_A	CAWG_01338|orf19.6074|C1_00340W_B|C1_00340W|orf19.13495|IPF21079.1|IPF8372.1|orf6.7618|CA4933|FAP7|CaO19.6074|CaO19.13495|IPF8372	ORF|Verified	CAL0000197369	CAL0006550	2014-06-24	2014-06-24	NA	NA		N	FAP7
C1_00340W_B		ORF	CAL0000181229		2014-06-24	2014-06-24	NA	NA		N	
C1_00350C_A	CAWG_01337|orf19.6073|C1_00350C_B|C1_00350C|orf19.13494|orf6.7617|YLR205C|IPF21077.1|IPF8374.1|Contig4-2523_0009|CA4932|CaO19.13494|CaO19.6073|IPF8374	ORF|Verified	CAL0000188588		2014-06-24	2014-06-24	NA	NA		N	HMX1
C1_00350C_B		ORF	CAL0000179157		2014-06-24	2014-06-24	NA	NA		N	
C1_00360W_A	CAWG_01336|orf19.6072|C1_00360W_B|C1_00360W|orf19.13493|IPF21058.1|IPF8378.2|Contig4-2523_0007|orf6.7616|CA4931|CaO19.6072|CaO19.13493|IPF8378	ORF|Verified	CAL0000201142		2014-06-24	2016-01-21	NA	NA		N	
C1_00360W_B		ORF	CAL0000174709		2014-06-24	2014-06-24	NA	NA		N	
C1_00370W_A	orf19.6072.1|C1_00370W_B|C1_00370W|calb_CGOB_00015	ORF|Uncharacterized	CAL0000183986		2014-06-24	2016-01-21	NA	NA		N	
C1_00370W_B		ORF	CAL0000200975		2014-06-24	2014-06-24	NA	NA		N	
C1_00380C_A	CAWG_01335|orf19.6071|C1_00380C_B|C1_00380C|orf19.13492|IPF21019.1|IPF8381.2|Contig4-2523_0004|Contig4-2523_0005|orf6.7615|CA4930|MDM20|CaO19.6071|CaO19.13492|IPF8381	ORF|Uncharacterized	CAL0000175749		2014-06-24	2016-01-21	NA	NA		N	MDM20
C1_00380C_B		ORF	CAL0000199967		2014-06-24	2014-06-24	NA	NA		N	
C1_00390W_A	CAWG_01334|orf19.6070|C1_00390W_B|C1_00390W|orf19.13491|orf6.7614|ENA22|IPF21137.1|IPF1398.2|Contig4-2977_0027|Contig4-2977_0028|CA4929|CaO19.6070|CaO19.13491	ORF|Uncharacterized	CAL0000188030		2014-06-24	2016-01-21	NA	NA		N	ENA2
C1_00390W_B		ORF	CAL0000175543		2014-06-24	2014-06-24	NA	NA		N	
C1_00400W_A	CAWG_01333|orf19.6068|C1_00400W_B|C1_00400W|orf19.13489|IPF21067.1|IPF1399.2|Contig4-2977_0025|orf6.7612|CA4928|CaO19.13489|CaO19.6068|IPF1399	ORF|Uncharacterized	CAL0000182395		2014-06-24	2016-01-21	NA	NA		N	SVF1
C1_00400W_B		ORF	CAL0000197081		2014-06-24	2014-06-24	NA	NA		N	
C1_00410C_A	CAWG_01332|orf19.6066|C1_00410C_B|C1_00410C|orf19.13487|IPF21050.1|IPF1401.2|Contig4-2977_0023|orf6.7610|CA4927|CaO19.13487|CaO19.6066|IPF1401	ORF|Uncharacterized	CAL0000181570		2014-06-24	2016-01-21	NA	NA		N	HFD1
C1_00410C_B		ORF	CAL0000191226		2014-06-24	2014-06-24	NA	NA		N	
C1_00420W_A	CAWG_01331|orf19.6065|C1_00420W_B|C1_00420W|orf19.13486|orf6.7609|IPF21071.1|IPF1404.1|Contig4-2977_0018|CA4926|CaO19.13486|CaO19.6065|IPF1404	ORF|Uncharacterized	CAL0000182735		2014-06-24	2016-01-21	NA	NA		N	
C1_00420W_B		ORF	CAL0000196045		2014-06-24	2014-06-24	NA	NA		N	
C1_00430W_A	CAWG_01330|orf19.6064|C1_00430W_B|C1_00430W|orf19.13485|IPF18155.2|IPF1408.1|Contig4-2977_0013|Contig4-2977_0014|orf6.7608|CA4925|CaO19.13485|ATG18|CaO19.6064|IPF1408	ORF|Uncharacterized	CAL0000198706		2014-06-24	2016-01-21	NA	NA		N	ATG18
C1_00430W_B		ORF	CAL0000185633		2014-06-24	2014-06-24	NA	NA		N	
C1_00440W_A	CAWG_01329|orf19.6063|C1_00440W_B|C1_00440W|orf19.13484|IPF21056.1|IPF1412.1|Contig4-2977_0011|orf6.7607|UBP6.3f|CA4924|CaO19.13484|CaO19.6063|UBP6.3	ORF|Uncharacterized	CAL0000193223		2014-06-24	2016-01-21	NA	NA		N	UBP6
C1_00440W_B		ORF	CAL0000196646		2014-06-24	2014-06-24	NA	NA		N	
C1_00450C_A	CAWG_01328|orf19.6062.3|C1_00450C_B|C1_00450C|IPF21126.1|IPF1413.1|Contig4-2977_0010|CA4923|IPF1413.3f|IPF1413.3	ORF|Uncharacterized	CAL0000194733		2014-06-24	2016-01-21	NA	NA		N	MIC19
C1_00450C_B		ORF	CAL0000181145		2014-06-24	2014-06-24	NA	NA		N	
C1_00460W_A	CAWG_01327|orf19.6062|C1_00460W_B|C1_00460W|orf19.13483|IPF21130.1|IPF1415.1|Contig4-2977_0005|orf6.7606|CA4922|CaO19.13483|CaO19.6062|IPF1415	ORF|Verified	CAL0000176138		2014-06-24	2016-01-21	NA	NA		N	MGR2
C1_00460W_B		ORF	CAL0000188580		2014-06-24	2014-06-24	NA	NA		N	
C1_00470C_A	CAWG_01326|orf19.6061|C1_00470C_B|C1_00470C|orf19.13482|IPF21059.1|IPF1416.1|Contig4-2977_0004|orf6.7605|CA4921|FMP30|CaO19.13482|CaO19.6061|IPF1416	ORF|Uncharacterized	CAL0000184399		2014-06-24	2016-01-21	NA	NA		N	FMP30
C1_00470C_B		ORF	CAL0000200494		2014-06-24	2014-06-24	NA	NA		N	
C1_00480C_A	CAWG_01325|orf19.6060|C1_00480C_B|C1_00480C|orf19.13481|IPF21021.1|IPF1420.1|Contig4-2977_0003|orf6.7604|CA4920|CaO19.6060|CaO19.13481	ORF|Uncharacterized	CAL0000181616		2014-06-24	2016-01-21	NA	NA		N	GCN20
C1_00480C_B		ORF	CAL0000195789		2014-06-24	2014-06-24	NA	NA		N	
C1_00490C_A	CAWG_01324|orf19.6059|C1_00490C_B|C1_00490C|orf19.13480|IPF21120.1|IPF1421.1|Contig4-2977_0001|orf6.7603|CA4919|GRX2|CaO19.13480|TTR11|CaO19.6059	ORF|Verified	CAL0000190988	CAL0006748	2014-06-24	2016-01-21	NA	NA		N	GRX2
C1_00490C_B		ORF	CAL0000175373		2014-06-24	2014-06-24	NA	NA		N	
C1_00500C_A	CAWG_01323|orf19.6058|C1_00500C_B|C1_00500C|orf19.13479|IPF21068.1|IPF1422.1|orf6.7602|CA4918|CaO19.13479|CaO19.6058	ORF|Uncharacterized	CAL0000175730		2014-06-24	2016-01-21	NA	NA		N	GLO1
C1_00500C_B		ORF	CAL0000192087		2014-06-24	2014-06-24	NA	NA		N	
C1_00510W_A	CAWG_01322|orf19.6057|C1_00510W_B|C1_00510W|orf19.13478|IPF21074.1|IPF1424.1|Contig4-3053_0035|orf6.7601|CA4917|CaO19.6057|ECM31|CaO19.13478	ORF|Uncharacterized	CAL0000175867		2014-06-24	2016-01-21	NA	NA		N	ECM31
C1_00510W_B		ORF	CAL0000183601		2014-06-24	2014-06-24	NA	NA		N	
C1_00520W_A	CAWG_01321|orf19.6056|C1_00520W_B|C1_00520W|orf19.13477|IPF21093.1|IPF1425.1|Contig4-3053_0032|orf6.7600|CA4916|CaO19.13477|CaO19.6056|IPF1425	ORF|Uncharacterized	CAL0000184166		2014-06-24	2016-01-21	NA	NA		N	YOR283W
C1_00520W_B		ORF	CAL0000196743		2014-06-24	2014-06-24	NA	NA		N	
C1_00530C_A	CAWG_01320|orf19.6055|C1_00530C_B|C1_00530C|orf19.13476|IPF21013.1|IPF1427.1|Contig4-3053_0030|orf6.7599|CA4915|BUL3|CaO19.13476|CaO19.6055|IPF1427	ORF|Uncharacterized	CAL0000174026		2014-06-24	2016-01-21	NA	NA		N	
C1_00530C_B		ORF	CAL0000185456		2014-06-24	2014-06-24	NA	NA		N	
C1_00540C_A	CAWG_01319|orf19.6054|C1_00540C_B|C1_00540C|orf19.13475|IPF21022.1|IPF1428.2|Contig4-3053_0028|orf6.7598|CA4914|CaO19.6054|BUL2|CaO19.13475|IPF1428	ORF|Uncharacterized	CAL0000201663	CAL0006816	2014-06-24	2016-01-21	NA	NA		N	
C1_00540C_B		ORF	CAL0000182026		2014-06-24	2014-06-24	NA	NA		N	
C1_00550W_A	CAWG_01318|orf19.6053|C1_00550W_B|C1_00550W|orf19.13474|IPF21037.1|IPF1431.1|Contig4-3053_0023|orf6.7597|CA4913|CaO19.6053|ECM38|CaO19.13474	ORF|Uncharacterized	CAL0000184736		2014-06-24	2016-01-21	NA	NA		N	ECM38
C1_00550W_B		ORF	CAL0000196414		2014-06-24	2014-06-24	NA	NA		N	
C1_00560W_A	CAWG_01317|orf19.6052|C1_00560W_B|C1_00560W|orf19.13473|IPF21066.1|IPF1432.1|Contig4-3053_0020|orf6.7596|CA4912|CaO19.13473|CaO19.6052	ORF|Verified	CAL0000195791		2014-06-24	2016-01-21	NA	NA		N	CNS1
C1_00560W_B		ORF	CAL0000177953		2014-06-24	2014-06-24	NA	NA		N	
C1_00570C_A	CAWG_01316|orf19.6049|C1_00570C_B|C1_00570C|orf19.13470|IPF21018.1|IPF1435.1|Contig4-3053_0017|orf6.7593|CA4911|CaO19.13470|CaO19.6049|IPF1435	ORF|Uncharacterized	CAL0000191339		2014-06-24	2016-01-21	NA	NA		N	SLI15
C1_00570C_B		ORF	CAL0000184031		2014-06-24	2014-06-24	NA	NA		N	
C1_00580W_A	CAWG_01315|orf19.6048|C1_00580W_B|C1_00580W|orf19.13469|IPF21073.1|IPF1437.1|Contig4-3053_0016|orf6.7592|CA4910|CaO19.6048|CaO19.13469|IPF1437	ORF|Uncharacterized	CAL0000186327		2014-06-24	2016-01-21	NA	NA		N	
C1_00580W_B		ORF	CAL0000187835		2014-06-24	2014-06-24	NA	NA		N	
C1_00590W_A	CAWG_01314|orf19.6047|C1_00590W_B|C1_00590W|orf19.13468|IPF21060.1|IPF1439.1|Contig4-3053_0014|orf6.7591|CA4909|CaO19.6047|CaO19.13468	ORF|Uncharacterized	CAL0000198818		2014-06-24	2016-01-21	NA	NA		N	TUF1
C1_00590W_B		ORF	CAL0000186251		2014-06-24	2014-06-24	NA	NA		N	
C1_00600W_A	CAWG_01313|orf19.6046|C1_00600W_B|C1_00600W|orf19.13467|IPF21111.1|IPF1445.2|Contig4-3053_0013|orf6.7590|CA4908|CaO19.6046|CaO19.13467|IPF1445	ORF|Uncharacterized	CAL0000196687		2014-06-24	2016-01-21	NA	NA		N	APC1
C1_00600W_B		ORF	CAL0000191521		2014-06-24	2014-06-24	NA	NA		N	
C1_00610W_A	CAWG_01312|orf19.6045|C1_00610W_B|C1_00610W|orf19.13466|IPF21041.1|IPF1448.1|Contig4-3053_0005|orf6.7589|CA4907|CaO19.6045|CaO19.13466	ORF|Verified	CAL0000188438		2014-06-24	2016-01-21	NA	NA		N	PSD1
C1_00610W_B		ORF	CAL0000195561		2014-06-24	2014-06-24	NA	NA		N	
C1_00620W_A	CAWG_01311|orf19.6044|C1_00620W_B|C1_00620W|orf19.13465|IPF21075.1|IPF1449.1|Contig4-3053_0003|orf6.7588|CA4906|CaO19.13465|CaO19.6044	ORF|Verified	CAL0000186024		2014-06-24	2016-01-21	NA	NA		N	MOB2
C1_00620W_B		ORF	CAL0000194850		2014-06-24	2014-06-24	NA	NA		N	
C1_00630W_A	CAWG_01310|orf19.6043|C1_00630W_B|C1_00630W|orf19.13464|IPF21048.1|IPF1451.1|Contig4-3053_0001|orf6.7587|CA4905|CaO19.13464|CaO19.6043|DLD1	ORF|Uncharacterized	CAL0000191678		2014-06-24	2016-01-21	NA	NA		N	
C1_00630W_B		ORF	CAL0000179177		2014-06-24	2014-06-24	NA	NA		N	
C1_00640C_A	CAWG_01309|orf19.6041|C1_00640C_B|C1_00640C|orf19.13462|IPF21121.1|IPF1453.2|Contig4-3053_0037|orf6.7585|CA4904|CaO19.6041|CaO19.13462	ORF|Uncharacterized	CAL0000185076		2014-06-24	2016-01-21	NA	NA		N	RPO41
C1_00640C_B		ORF	CAL0000189543		2014-06-24	2014-06-24	NA	NA		N	
C1_00650C_A	CAWG_01308|orf19.6040|C1_00650C_B|C1_00650C|orf19.13461|IPF21090.1|IPF1454.1|Contig4-2972_0022|orf6.7584|VPS32|CA4903|CaO19.13461|CaO19.6040	ORF|Verified	CAL0000187201		2014-06-24	2016-01-21	NA	NA		N	SNF7
C1_00650C_B		ORF	CAL0000195382		2014-06-24	2014-06-24	NA	NA		N	
C1_00660C_A	CAWG_01307|orf19.6039|C1_00660C_B|C1_00660C|orf19.13460|IPF21070.1|IPF1455.1|Contig4-2972_0019|orf6.7583|CA4902|CaO19.6039|SED5|CaO19.13460	ORF|Uncharacterized	CAL0000185526		2014-06-24	2016-01-21	NA	NA		N	SED5
C1_00660C_B		ORF	CAL0000199997		2014-06-24	2014-06-24	NA	NA		N	
C1_00670C_A	CAWG_01306|orf19.6038|C1_00670C_B|C1_00670C|orf19.13459|IPF21042.1|IPF1457.1|Contig4-2972_0013|Contig4-2972_0017|orf6.7582|CA4901|CaO19.6038|CaO19.13459|IPF1457	ORF|Verified	CAL0000195594		2014-06-24	2016-01-21	NA	NA	2005-02-11	N	
C1_00670C_B		ORF	CAL0000183764		2014-06-24	2014-06-24	NA	NA		N	
C1_00680W_A	CAWG_01305|orf19.6037|C1_00680W_B|C1_00680W|orf19.13458|orf6.7581|IPF21027.1|IPF1459.1|Contig4-2972_0011|CA4900|IFP2|CaO19.13458|CaO19.6037	ORF|Uncharacterized	CAL0000190930	CAL0006576	2014-06-24	2016-01-21	NA	NA		N	
C1_00680W_B		ORF	CAL0000178232		2014-06-24	2014-06-24	NA	NA		N	
C1_00690W_A	CAWG_01304|orf19.6036|C1_00690W_B|C1_00690W|orf19.13457|IPF21148.1|IPF1460.1|Contig4-2972_0009|orf6.7580|CA4899|CaO19.6036|CaO19.13457|IPF1460	ORF|Uncharacterized	CAL0000199231		2014-06-24	2016-01-21	NA	NA		N	RIC1
C1_00690W_B		ORF	CAL0000187062		2014-06-24	2014-06-24	NA	NA		N	
C1_00700W_A	CAWG_01303|orf19.6035|C1_00700W_B|C1_00700W|orf19.13456|IPF21108.1|IPF1461.1|Contig4-2972_0006|orf6.7579|CA4898|CaO19.13456|CaO19.6035|IPF1461	ORF|Uncharacterized	CAL0000176204		2014-06-24	2016-01-21	NA	NA		N	
C1_00700W_B		ORF	CAL0000198566		2014-06-24	2014-06-24	NA	NA		N	
C1_00710C_A	CAWG_01302|orf19.6034|C1_00710C_B|C1_00710C|orf19.13455|IPF21061.1|IPF1463.1|Contig4-2972_0005|orf6.7578|CA4897|TUB2.3	ORF|Verified	CAL0000176403	CAL0006750	2014-06-24	2016-01-21	NA	NA		N	TUB2
C1_00710C_B		ORF	CAL0000188783		2014-06-24	2014-06-24	NA	NA		N	
C1_00720W_A	C1_00720W_B|C1_00720W|tP(UGG)3.2|tP(TGG)3	tRNA|Uncharacterized	CAL0000185033		2014-06-24	2016-01-21	NA	NA		N	
C1_00720W_B		tRNA	CAL0000174994		2014-06-24	2014-06-24	NA	NA		N	
